DATE           LON     LAT     PERIOD  Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    LON     LAT     Pmin    Vmax    
2013110600     139.7   7.3     0       926.0   130.0   139.70  7.50    991.90  21.90   139.70  7.40    991.00  24.20   139.70  7.50    992.80  20.10   139.80  7.40    991.70  23.60   139.60  7.50    992.00  24.00   139.80  7.40    993.60  21.70   139.70  7.50    990.20  25.70   139.80  7.50    990.40  23.20   139.70  7.50    993.40  21.40   139.60  7.50    991.30  23.20   139.80  7.50    992.40  22.60   139.80  7.50    993.40  20.50   139.70  7.50    990.40  23.40   139.60  7.50    992.00  23.20   139.80  7.40    991.60  23.20   139.70  7.50    993.80  20.40   139.70  7.50    990.10  24.20   139.60  7.50    991.00  25.30   139.80  7.50    992.70  20.60   139.70  7.50    990.60  22.60   139.70  7.50    993.20  21.80   139.70  7.40    990.60  24.20   139.70  7.50    993.20  20.10   139.80  7.50    991.70  23.20   139.70  7.50    992.10  24.30   139.80  7.40    994.30  21.70   139.70  7.50    989.50  25.60   139.80  7.50    991.20  22.90   139.70  7.50    992.60  21.30   139.60  7.50    991.00  23.10   139.80  7.50    992.70  22.40   139.80  7.50    993.70  20.60   139.70  7.50    990.20  23.30   139.60  7.50    991.90  23.40   139.80  7.40    991.80  23.00   139.70  7.50    993.60  20.20   139.70  7.50    990.30  24.20   139.60  7.50    991.10  25.30   139.80  7.50    992.70  20.60   139.70  7.50    990.80  22.60   139.70  7.50    993.10  22.10   139.70  7.40    991.20  24.30   139.70  7.50    992.60  20.10   139.80  7.40    991.90  23.50   139.60  7.50    991.90  24.10   139.80  7.40    993.80  21.80   139.70  7.50    990.00  25.70   139.80  7.50    991.40  23.20   139.70  7.50    992.40  21.20   139.60  7.50    991.20  23.30   139.80  7.50    992.50  22.50   
2013110600     136.1   7.9     12      911.0   150.0   136.50  8.00    986.70  31.20   136.10  7.60    982.60  30.20   136.60  8.00    983.60  30.50   136.90  7.60    980.30  34.80   136.20  8.20    985.20  32.60   136.50  7.80    989.30  26.40   136.50  8.00    982.10  34.40   137.00  7.80    980.90  32.90   136.10  8.00    986.80  28.90   136.10  8.00    987.80  26.40   136.50  7.70    987.00  31.30   136.10  8.10    986.20  30.20   136.50  7.70    982.10  36.90   136.20  8.00    985.90  31.10   136.90  7.70    984.10  32.30   136.50  7.90    987.00  28.50   136.50  8.00    984.10  30.50   136.20  7.70    983.30  29.60   136.60  8.20    987.70  29.20   136.50  7.80    986.00  30.30   136.40  8.00    988.70  27.80   136.40  8.30    986.80  33.20   137.00  7.60    986.30  26.70   136.80  7.80    983.80  30.50   135.90  8.10    987.30  30.30   136.40  7.70    990.50  26.00   136.50  8.10    981.70  36.70   136.60  7.90    982.60  27.90   136.20  7.90    987.50  26.30   136.40  8.00    986.30  31.40   136.50  7.90    985.60  32.70   136.20  8.00    988.00  26.80   136.50  7.60    985.10  33.40   136.00  7.80    984.60  28.50   136.60  8.00    986.00  28.90   136.30  7.60    989.40  26.30   136.40  8.10    984.40  33.70   136.40  7.90    981.10  34.80   136.70  8.00    987.40  30.80   136.40  7.90    985.70  30.50   136.50  8.00    987.00  31.20   136.10  7.60    983.80  30.20   136.50  8.10    987.50  32.10   136.90  7.70    983.40  31.10   136.00  8.10    986.50  29.10   136.50  8.00    989.80  26.30   136.50  8.00    983.90  33.70   136.90  7.80    982.60  29.40   136.00  8.00    986.50  29.00   136.10  8.20    989.20  26.30   136.50  7.70    985.20  32.20   
2013110600     132.7   8.7     24      907.0   155.0   133.30  9.10    984.90  30.40   133.20  8.60    977.80  36.70   133.20  9.20    979.50  34.80   134.00  9.10    981.00  34.40   133.30  9.10    981.80  33.50   133.50  8.50    986.40  30.10   134.00  9.20    980.10  35.40   133.90  9.10    979.80  32.70   132.80  9.10    984.60  30.20   132.80  9.10    988.80  27.00   133.60  9.30    987.40  30.40   133.00  9.00    982.60  30.40   133.50  8.60    982.40  33.00   133.60  9.00    979.90  32.40   133.80  8.60    978.80  34.90   133.50  8.80    987.30  29.50   133.00  9.50    981.70  35.50   133.40  8.90    980.50  32.00   133.60  9.50    982.60  31.70   133.40  8.90    984.20  29.20   133.00  9.40    992.30  25.20   132.70  9.50    987.30  32.50   134.00  8.80    981.70  29.90   133.50  9.60    980.40  34.10   133.00  8.50    978.30  34.40   133.30  8.40    988.10  28.50   133.20  9.50    979.80  31.60   133.40  9.00    979.10  34.20   133.30  8.70    985.00  30.10   133.10  9.40    981.70  32.10   133.10  8.60    981.70  30.00   132.60  8.50    981.00  32.10   133.60  9.00    985.10  30.30   133.40  8.40    979.40  31.80   133.10  9.50    987.40  30.00   133.40  8.60    985.70  30.90   133.00  9.50    982.90  31.40   133.10  8.60    977.00  32.10   133.80  9.40    984.30  30.50   133.30  9.00    982.00  30.80   133.40  9.00    983.20  31.20   133.50  8.50    978.80  31.40   133.10  9.40    983.00  31.20   133.80  9.00    982.60  34.20   132.90  9.10    984.50  34.60   133.00  8.60    985.30  28.60   133.60  9.60    984.10  32.00   134.00  8.60    977.80  34.50   132.60  8.90    984.00  28.80   132.50  10.00   989.70  30.60   133.90  9.00    983.90  35.70   
2013110600     129.0   10.2    36      895.0   170.0   130.00  10.30   980.80  34.30   129.80  9.90    975.10  36.90   129.90  10.40   971.30  39.20   130.30  10.10   978.10  34.10   129.80  10.40   979.10  34.10   130.20  9.90    980.90  29.70   130.70  10.50   977.10  31.30   130.90  10.90   974.20  37.00   129.40  10.00   981.00  32.20   129.50  10.00   986.80  28.10   129.70  10.90   988.40  29.50   129.80  10.00   979.00  33.50   131.00  9.70    980.80  33.80   130.20  10.60   974.90  35.00   130.40  10.30   974.00  35.70   130.20  9.50    981.70  31.30   129.50  11.00   978.20  35.50   130.00  9.70    975.90  36.40   130.40  11.30   983.60  30.70   130.50  9.70    983.10  36.10   129.30  10.10   989.30  26.60   128.90  11.00   990.10  24.40   130.90  10.50   974.60  36.90   129.40  11.10   973.60  35.90   130.70  9.50    977.50  32.40   130.00  9.90    985.80  29.90   130.30  10.10   978.10  32.80   130.00  10.50   974.20  34.80   130.00  10.40   981.80  29.70   130.00  10.60   977.20  36.10   129.90  10.00   979.10  33.00   129.50  9.50    975.00  33.30   130.40  11.10   981.40  32.50   130.90  9.60    968.70  38.20   128.90  10.50   983.00  30.80   130.50  9.50    978.30  33.20   129.80  11.10   982.30  33.50   130.40  10.00   970.40  37.70   130.60  10.80   982.10  35.20   129.90  9.90    979.60  33.50   129.70  10.40   980.00  34.00   130.40  9.60    975.30  36.20   130.00  10.60   981.00  30.40   130.50  10.60   982.60  32.10   129.40  10.30   978.30  32.40   130.00  9.60    983.50  32.20   130.20  10.80   981.80  31.50   131.40  10.00   972.90  38.90   129.00  9.80    981.00  31.40   128.30  10.90   988.80  27.30   130.50  9.80    982.60  31.10   
2013110600     124.7   11.0    48      899.0   165.0   126.40  11.50   977.60  35.60   126.00  10.90   974.30  34.50   126.20  11.80   967.90  38.40   127.00  11.10   971.90  36.50   126.50  11.60   967.30  39.60   126.40  11.20   978.30  33.90   127.00  11.60   975.90  35.90   127.30  12.40   966.70  40.10   126.00  11.50   969.90  40.30   126.50  10.60   980.90  31.60   126.10  11.60   985.10  29.20   126.10  11.50   973.60  36.80   127.50  11.70   980.30  31.80   126.70  11.90   967.20  37.40   126.50  11.30   969.30  37.70   127.30  11.10   980.40  36.60   125.90  11.80   977.40  33.40   126.20  11.00   970.00  36.80   126.40  12.50   979.60  31.90   126.60  11.50   987.60  29.20   126.50  10.60   986.70  27.80   125.00  11.70   987.10  27.60   127.30  12.30   973.90  37.90   125.50  12.50   971.40  41.80   128.00  10.90   978.90  37.10   126.40  10.70   979.90  35.20   127.40  11.40   975.90  36.80   126.00  11.80   965.70  43.20   126.40  11.90   978.30  32.10   126.50  11.60   974.80  35.80   126.10  10.90   973.30  35.90   126.00  10.50   965.20  45.50   126.70  12.00   976.90  34.20   127.70  11.20   956.20  48.60   125.60  11.40   979.90  30.70   127.30  11.00   976.10  41.10   125.50  12.40   978.60  32.00   126.90  11.00   969.00  42.30   127.30  12.10   977.10  36.50   126.90  11.00   975.10  37.50   126.20  11.10   972.00  39.20   126.90  11.10   969.90  39.50   126.40  11.70   976.00  34.20   126.50  12.00   976.70  31.30   126.00  11.00   971.50  40.00   126.50  11.00   979.40  31.30   126.40  12.00   982.00  29.90   128.00  11.50   975.50  37.00   125.90  10.60   974.60  43.30   124.70  11.40   988.10  26.40   127.50  10.90   980.20  34.10   
2013110600     120.4   11.8    60      926.0   130.0   122.50  12.40   977.10  34.30   122.30  12.00   980.20  31.50   122.50  12.60   968.80  38.30   123.00  11.90   974.90  33.70   122.80  13.00   972.70  32.50   122.20  12.00   977.50  35.80   123.40  12.60   982.30  32.00   123.70  13.20   964.90  43.80   121.60  12.50   974.30  30.10   122.80  11.40   982.60  25.60   122.40  12.20   987.90  27.20   122.00  12.60   972.70  37.50   123.40  12.80   981.10  33.10   123.00  13.10   965.40  32.60   122.10  12.20   967.50  42.90   123.30  12.50   982.70  28.40   122.00  12.50   978.00  36.80   122.40  11.40   974.40  31.80   122.70  13.10   977.40  27.10   122.30  12.10   993.30  26.40   123.10  11.60   988.80  26.50   121.00  12.20   986.30  26.10   123.30  13.00   971.10  31.80   121.50  12.70   976.30  29.10   124.00  12.50   981.20  28.50   122.50  12.00   979.10  34.30   123.50  12.10   977.90  34.60   122.20  12.50   972.30  35.80   122.60  12.80   978.00  28.50   122.80  12.50   975.40  32.70   122.10  11.60   974.50  38.30   122.30  11.50   980.20  30.10   123.10  13.30   976.70  27.30   124.10  12.50   948.60  37.90   121.60  12.10   981.90  29.20   123.10  11.70   976.00  39.20   121.80  12.80   979.70  28.40   122.90  12.30   970.80  42.40   124.20  13.10   972.60  36.50   122.70  12.10   976.40  34.90   122.60  12.20   975.40  35.20   122.80  11.80   968.50  35.70   122.60  12.60   977.80  29.70   122.10  13.00   979.30  28.80   122.00  12.00   979.40  33.60   122.60  12.00   977.70  32.50   122.10  12.90   982.80  32.30   123.90  12.40   973.50  30.90   122.10  11.50   975.60  35.80   121.00  12.50   985.30  29.40   123.70  12.10   984.00  29.70   
2013110600     116.2   12.6    72      937.0   115.0   118.10  13.00   979.80  30.60   118.10  12.60   977.80  30.80   119.50  13.50   974.30  28.70   119.50  12.50   977.00  32.50   118.50  14.20   980.30  34.80   118.90  12.00   974.70  32.30   119.40  13.20   985.00  31.00   120.20  13.50   977.60  32.40   117.50  13.00   973.30  36.10   118.70  12.60   981.70  32.20   118.50  12.40   986.50  28.30   116.90  13.20   974.70  34.60   119.10  13.20   981.90  30.60   119.50  14.20   961.80  40.70   118.40  13.10   969.90  38.30   118.60  12.20   983.50  30.40   118.70  12.40   981.00  28.60   118.50  12.40   972.40  36.30   119.10  13.80   982.00  28.40   117.50  12.30   994.80  20.60   119.20  12.60   986.90  29.50   117.50  12.90   979.10  33.70   120.00  14.10   968.50  37.40   118.30  13.50   973.90  39.20   119.10  12.90   982.60  29.30   117.80  12.50   982.60  28.90   119.50  13.20   981.60  34.30   118.00  13.20   976.50  32.50   118.90  13.50   976.50  33.50   119.50  13.30   976.00  34.90   118.00  12.50   970.60  35.60   117.30  13.00   986.00  26.70   119.50  13.80   978.50  30.20   119.60  13.50   956.50  44.00   117.60  12.70   980.50  32.40   118.90  12.00   980.00  35.10   118.60  13.50   976.40  35.90   118.70  12.80   975.30  33.40   120.70  13.60   978.80  30.00   118.30  12.90   978.20  33.50   118.70  12.70   980.80  30.10   119.10  12.80   964.30  43.10   119.40  13.20   979.20  31.10   118.30  13.50   976.70  33.10   117.50  12.50   977.00  34.10   118.60  12.50   979.20  30.50   118.00  13.30   980.30  36.10   119.50  13.10   971.60  34.10   118.60  12.80   973.30  33.80   117.00  12.90   983.70  27.00   119.50  12.00   985.50  27.90   
2013110600     113.1   14.5    84      948.0   100.0   114.40  14.10   980.30  33.60   114.50  14.50   979.10  31.60   115.60  15.50   977.10  33.30   116.00  14.00   980.00  31.50   114.00  14.70   978.90  33.90   116.20  13.90   975.30  34.20   115.50  14.50   975.10  37.00   116.90  15.00   976.90  33.30   114.50  14.70   974.10  41.00   114.10  13.40   977.10  35.00   115.10  13.80   987.50  28.90   113.40  13.90   977.00  33.00   115.60  14.90   977.60  38.80   115.70  15.60   963.80  41.50   114.70  14.70   964.80  41.80   115.50  13.50   979.30  32.30   116.20  14.30   982.30  33.20   115.10  12.90   971.60  34.40   115.10  15.10   976.80  35.00   114.60  13.10   995.10  24.70   115.40  13.60   982.30  32.60   113.90  14.50   974.10  37.40   116.00  16.00   970.10  35.60   114.50  15.20   972.80  33.80   115.10  13.60   979.00  33.40   114.50  13.40   973.70  36.40   116.30  14.50   985.20  34.50   114.20  14.50   974.40  34.40   115.60  14.90   979.80  34.60   116.10  14.60   970.10  38.30   114.50  14.10   966.30  46.00   113.40  13.40   985.20  28.60   115.60  15.00   969.80  37.30   116.00  15.40   956.10  44.70   114.10  13.90   975.40  34.10   115.50  13.10   981.30  32.20   115.00  15.20   972.50  34.30   115.20  14.50   968.80  37.40   117.10  15.70   981.70  34.00   114.60  14.10   975.00  37.50   114.90  14.10   979.00  33.50   114.70  14.50   941.50  51.30   116.10  15.70   972.90  39.30   114.50  14.60   974.90  32.10   114.40  13.50   975.90  35.00   115.70  14.00   971.20  36.90   114.50  14.60   977.60  31.80   115.10  14.40   963.10  41.00   114.80  14.40   969.90  36.60   114.00  14.60   986.30  29.40   117.00  13.60   979.60  33.00   
2013110600     110.1   16.5    96      956.0   90.0    111.00  15.10   981.50  27.70   110.60  16.00   980.30  30.00   111.80  15.90   980.60  31.40   112.70  15.00   978.60  33.50   110.90  16.00   981.80  26.90   112.60  15.20   972.50  34.60   112.40  15.40   974.50  33.60   113.50  16.00   979.00  32.90   111.00  16.50   981.80  37.40   110.80  13.50   973.20  32.90   111.60  15.00   988.30  25.90   110.00  14.60   977.20  31.60   111.90  15.10   975.60  31.80   112.90  17.10   965.90  38.40   111.10  16.00   962.40  38.50   112.00  14.70   975.70  35.40   112.50  15.60   984.60  28.00   112.10  13.90   971.30  37.30   111.40  16.50   974.70  33.40   111.50  14.10   994.60  23.20   111.90  15.10   984.30  30.80   110.20  15.50   978.80  29.80   113.10  17.20   974.30  38.20   111.50  16.00   976.50  30.80   111.40  14.50   976.00  31.70   111.10  14.70   977.80  31.30   113.00  16.00   993.10  23.80   111.00  15.10   972.20  36.30   111.80  15.90   980.50  28.70   112.20  15.50   969.40  39.00   110.90  15.50   968.80  35.60   110.60  14.30   984.80  29.60   112.50  15.90   971.10  31.70   112.50  16.50   959.60  40.40   110.60  14.50   972.80  33.60   112.40  14.40   983.80  33.40   111.40  16.30   976.90  30.50   112.20  14.60   969.80  33.00   112.70  16.50   981.80  31.20   111.00  15.00   977.60  34.90   111.20  14.70   981.30  34.10   111.00  15.50   945.00  59.80   112.30  16.50   967.30  35.60   111.20  15.70   976.50  32.70   111.10  14.00   985.20  28.90   112.40  15.60   971.20  31.90   110.70  16.10   984.10  29.90   111.50  15.60   961.50  38.50   111.60  16.40   970.30  36.00   110.10  16.10   988.50  25.20   113.50  14.40   971.30  38.50   
2013110600     108.0   19.3    108     963.0   80.0    107.90  16.50   985.30  26.30   107.60  17.30   982.20  34.50   109.90  15.80   983.70  31.80   110.10  16.00   980.20  30.50   108.10  17.70   983.10  33.10   109.60  16.00   977.10  33.40   110.30  15.70   980.00  32.90   111.00  16.70   975.70  35.20   107.80  17.90   993.50  26.40   108.00  15.30   986.40  22.90   108.40  15.70   991.10  22.10   107.40  15.60   994.20  15.00   109.90  15.90   980.60  29.00   110.20  18.40   966.80  33.60   108.60  16.80   968.00  39.10   109.00  15.50   977.10  34.50   109.00  16.20   985.50  28.10   109.30  15.10   973.60  38.10   109.00  17.60   975.20  36.40   108.40  16.00   996.80  19.90   108.10  16.10   984.70  30.10   107.50  17.10   980.90  39.30   111.30  18.20   972.70  37.70   109.50  17.90   980.20  30.50   108.00  15.50   982.40  22.00   108.00  16.60   979.80  34.20   109.60  16.60   997.50  22.60   108.50  16.00   978.70  30.30   109.60  16.60   976.80  36.20   110.00  16.50   975.30  31.00   108.10  16.90   972.30  36.40   107.60  16.50   990.70  22.50   110.50  17.00   974.30  35.60   109.90  17.50   963.40  39.10   108.00  15.90   981.50  24.60   109.20  15.60   984.70  34.40   109.10  17.00   968.60  37.00   110.20  16.00   972.70  34.30   110.50  16.80   982.00  29.00   108.30  16.00   984.60  28.50   108.90  15.90   984.00  34.50   108.00  16.60   966.10  43.40   110.10  16.90   969.00  34.90   108.10  16.60   978.20  35.50   109.70  15.50   987.80  31.00   110.10  16.40   974.10  32.40   108.10  17.00   980.20  33.30   108.80  16.80   965.30  42.70   109.10  17.90   974.00  34.30   107.40  17.50   991.30  28.20   110.50  15.00   970.50  31.40   
